date,open,low,high,close
12/18/17 21:30,24485,24485,24485,24485
12/18/17 22:00,24610,24610,24670,24670
12/18/17 22:30,24665,24665,24665,24665
12/18/17 23:00,24540,24540,25095,25085
12/18/17 23:30,25025,24930,25025,24960
12/19/17 0:00,24930,24895,24945,24930
12/19/17 0:30,24895,24790,24960,24790
12/19/17 1:00,24830,24830,24945,24945
12/19/17 1:30,24890,24890,24920,24920
12/19/17 2:00,24795,24790,24795,24790
12/19/17 2:30,24925,24920,24970,24970
12/19/17 3:00,24925,24920,24970,24970
12/19/17 3:30,24925,24920,24970,24970
12/19/17 4:00,24925,24855,24925,24855
12/19/17 4:30,24925,24855,24925,24855
12/19/17 5:00,24635,24470,24635,24470
12/19/17 5:30,24470,24200,24470,24225
12/19/17 6:00,24190,23975,24190,24120
12/19/17 6:30,23945,23660,23945,23810
12/19/17 7:00,24080,23595,24080,23595
12/19/17 7:30,23670,23650,23970,23970
12/19/17 8:00,23850,23765,23970,23920
12/19/17 8:30,23955,23955,23955,23955
12/19/17 9:00,23950,23915,24080,23990
12/19/17 9:30,23935,23645,23935,23745
12/19/17 10:00,23710,23520,23710,23690
12/19/17 10:30,23710,23670,23795,23795
12/19/17 11:00,23770,23665,23820,23755
12/19/17 11:30,23740,23740,24015,23970
12/19/17 12:00,23880,23870,24190,24180
12/19/17 12:30,24210,24070,24235,24070
12/19/17 13:00,24110,23970,24210,23970
12/19/17 13:30,24030,23980,24030,24030
12/19/17 14:00,24050,24050,24240,24115
12/19/17 14:30,24070,23680,24070,23715
12/19/17 15:00,23740,23660,23765,23665
12/19/17 15:30,23705,23445,23770,23595
12/19/17 16:00,23610,23450,23655,23570
12/19/17 16:30,23395,22550,23395,22840
12/19/17 17:00,22900,22720,23115,22930
12/19/17 18:30,23115,23115,23190,23190
12/19/17 19:00,23345,23345,23450,23370
12/19/17 19:30,23330,22710,23330,22775
12/19/17 20:00,22550,21805,22615,22575
12/19/17 20:30,22545,21810,22560,22005
12/19/17 21:00,22015,22015,22335,22300
12/19/17 21:30,22370,22370,22935,22575
12/19/17 22:00,22850,22840,23160,23160
12/19/17 22:30,22890,22890,23035,23035
12/19/17 23:00,22930,22595,22970,22595
12/19/17 23:00,22585,22570,22795,22795
12/20/17 0:00,22785,22765,22930,22880
12/20/17 0:30,22865,22695,22865,22695
12/20/17 1:00,22535,22370,22535,22370
12/20/17 1:30,22270,22005,22270,22005
12/20/17 2:00,22095,21955,22325,22250
12/20/17 2:30,22220,22110,22725,22665
12/20/17 3:00,22220,22110,22725,22665
12/20/17 3:30,22370,22370,22685,22520
12/20/17 4:00,22670,22670,22960,22960
12/20/17 4:30,22880,22780,22880,22780
12/20/17 5:00,22885,22810,22940,22810
12/20/17 5:30,22895,22895,23165,23165
12/20/17 6:00,23200,23200,23365,23300
12/20/17 6:30,23170,23100,23170,23100
12/20/17 7:00,23165,23120,23365,23270
12/20/17 7:30,23350,23350,23480,23480
12/20/17 8:00,23495,23495,23720,23710
12/20/17 8:30,23670,23370,23670,23370
12/20/17 9:00,23400,22990,23400,23115
12/20/17 9:30,23205,23135,23415,23210
12/20/17 10:00,23175,23025,23175,23070
12/20/17 10:30,23015,22530,23015,22735
12/20/17 11:00,22670,22195,22670,22225
12/20/17 11:30,22225,21890,22295,22105
12/20/17 12:00,22035,21820,22175,22090
12/20/17 12:30,22220,22190,22435,22345
12/20/17 13:00,22370,22370,22625,22540
12/20/17 13:30,22490,22285,22490,22410
12/20/17 14:00,22370,22370,22570,22570
12/20/17 14:30,22405,22195,22510,22510
12/20/17 15:00,22425,22280,22440,22440
12/20/17 15:30,22375,22255,22400,22365
12/20/17 16:00,22340,22335,22530,22435
12/20/17 16:30,22370,22070,22370,22070
12/20/17 17:00,21970,21820,22000,21840
12/20/17 18:30,21770,21465,21770,21550
12/20/17 19:00,21550,21550,21670,21620
12/20/17 19:30,21620,21565,21690,21690
12/20/17 20:00,21630,21420,21980,21885
12/20/17 20:30,21840,21690,21840,21720
12/20/17 21:00,21850,21850,21890,21890
12/20/17 21:30,21820,21710,21890,21710
12/20/17 21:30,21670,21575,21745,21575
12/20/17 22:30,21480,21475,21655,21655
12/20/17 23:00,21685,21685,22265,22220
12/20/17 23:30,22120,21985,22220,22190
12/21/17 0:00,22155,22150,22400,22310
12/21/17 0:30,22210,22055,22210,22100
12/21/17 1:00,22405,22405,22405,22405
12/21/17 1:30,22375,22145,22375,22235
12/21/17 2:00,22415,22415,22625,22570
12/21/17 2:30,22480,22325,22640,22325
12/21/17 3:00,22270,22260,22405,22370
12/21/17 3:30,22355,22150,22370,22200
12/21/17 4:00,22220,22160,22270,22270
12/21/17 4:30,22105,22105,22345,22250
12/21/17 5:00,22105,22105,22345,22250
12/21/17 5:30,22075,22075,22110,22110
12/21/17 6:00,22015,21870,22015,21870
12/21/17 6:30,22040,22040,22115,22050
12/21/17 7:00,21845,21845,22155,22155
12/21/17 7:30,22170,22100,22250,22250
12/21/17 8:00,22325,22270,22325,22270
12/21/17 8:30,22170,21985,22185,21985
12/21/17 9:00,22045,21740,22045,21835
12/21/17 9:30,21835,21745,21870,21840
12/21/17 10:00,21870,21430,21870,21440
12/21/17 10:30,21440,21220,21525,21290
12/21/17 11:00,21280,20785,21360,21015
12/21/17 11:30,21065,20885,21220,21125
12/21/17 12:00,21070,20930,21315,21110
12/21/17 12:30,21020,20880,21115,20880
12/21/17 13:00,20855,20505,20855,20805
12/21/17 13:30,20755,20755,20905,20815
12/21/17 14:00,20875,20735,20875,20875
12/21/17 14:30,20835,20450,20935,20740
12/21/17 15:00,20760,20645,20950,20945
12/21/17 15:30,20950,20735,20950,20820
12/21/17 16:00,20870,20685,20870,20690
12/21/17 16:30,20655,20635,20790,20790
12/21/17 17:00,20780,20760,20970,20970
12/21/17 18:30,20965,20870,20970,20870
12/21/17 19:00,20970,20830,21020,21020
12/21/17 19:30,21195,20785,21195,20785
12/21/17 20:00,20915,20470,20915,20470
12/21/17 20:30,20470,20080,20540,20085
12/21/17 20:30,20190,19855,20305,20060
12/21/17 21:30,19860,19815,20130,20120
12/21/17 22:00,20120,19285,20120,19535
12/21/17 22:30,19580,18710,19630,19205
12/21/17 23:00,19190,18875,19730,19730
12/21/17 23:30,19620,19570,20275,20125
12/22/17 0:00,20020,19750,20300,20170
12/22/17 0:30,20290,19915,20395,19950
12/22/17 1:00,19855,19540,19880,19695
12/22/17 1:30,19730,19555,19980,19660
12/22/17 2:00,19645,19235,19645,19250
12/22/17 2:30,19150,18225,19200,18950
12/22/17 3:00,18825,18545,19270,19120
12/22/17 3:30,19085,18600,19170,18890
12/22/17 4:00,19020,18950,19320,19025
12/22/17 4:30,19120,18930,19375,19370
12/22/17 5:00,19275,19235,19570,19395
12/22/17 5:30,19415,19330,19740,19540
12/22/17 6:00,19580,19520,19945,19730
12/22/17 6:30,19650,19310,19650,19425
12/22/17 7:00,19385,19220,19385,19250
12/22/17 7:30,19540,19340,19540,19370
12/22/17 8:00,19520,19095,19645,19145
12/22/17 8:30,19220,18140,19220,18195
12/22/17 9:00,18290,17825,18735,17825
12/22/17 9:30,17830,17635,18040,17730
12/22/17 10:00,17670,17635,17675,17670
12/22/17 10:30,17635,17635,18320,18230
12/22/17 11:00,18230,18050,18605,18535
12/22/17 11:30,18585,17770,18585,17940
12/22/17 12:00,17980,17865,18510,18405
12/22/17 12:30,18335,18220,18665,18665
12/22/17 13:00,18575,17900,18575,18240
12/22/17 13:30,18270,17930,18570,18475
12/22/17 14:00,18470,18470,18875,18785
12/22/17 14:30,18795,18435,18850,18485
12/22/17 15:00,18455,18180,18485,18445
12/22/17 15:30,18560,18560,19000,18985
12/22/17 16:00,19005,19005,19530,19500
12/22/17 16:30,19540,19200,19540,19275
12/22/17 17:00,19270,19270,19485,19270
12/25/17 18:30,19270,19100,19270,19100
12/25/17 19:00,19240,19125,19240,19130
12/25/17 19:30,19370,19370,19370,19370
12/25/17 20:00,19250,19170,19250,19170
12/25/17 20:30,19155,19070,19155,19110
12/25/17 21:00,19165,19145,19235,19145
12/25/17 21:30,19130,19130,19245,19245
12/25/17 22:00,19315,19315,19345,19345
12/25/17 22:00,19315,19315,19345,19345
12/25/17 23:00,19460,19460,19985,19985
12/25/17 23:00,20080,20080,20360,20360
12/26/17 0:00,20365,20195,20380,20195
12/26/17 0:30,20465,20465,20610,20610
12/26/17 1:00,20555,20555,20580,20580
12/26/17 1:30,20525,20475,20570,20570
12/26/17 2:00,20600,20600,20755,20755
12/26/17 2:30,20730,20680,20730,20680
12/26/17 3:00,20730,20680,20730,20680
12/26/17 3:30,20705,20570,20740,20570
12/26/17 3:30,20495,20490,20565,20565
12/26/17 4:30,20235,20235,20540,20535
12/26/17 4:30,20540,20470,20680,20680
12/26/17 5:30,20695,20695,20695,20695
12/26/17 5:30,20720,20615,20720,20615
12/26/17 6:30,20600,20485,20600,20490
12/26/17 7:00,20375,20375,20375,20375
12/26/17 7:30,20395,20320,20540,20540
12/26/17 8:00,20520,20520,20770,20770
12/26/17 8:30,20725,20725,20820,20790
12/26/17 9:00,20730,20630,20730,20630
12/26/17 9:30,20655,20655,20875,20840
12/26/17 10:00,20855,20840,21140,21140
12/26/17 10:30,21075,20935,21170,21105
12/26/17 11:00,21100,21090,21190,21190
12/26/17 11:30,21225,21225,21470,21470
12/26/17 12:00,21375,21250,21470,21470
12/26/17 12:30,21315,21265,21345,21270
12/26/17 13:00,21260,20970,21260,21035
12/26/17 13:30,21090,20820,21135,20970
12/26/17 14:00,20970,20955,21105,21105
12/26/17 14:30,21160,21160,21190,21190
12/26/17 15:00,21195,21195,21195,21195
12/26/17 15:30,21225,21225,21410,21290
12/26/17 16:00,21310,21055,21310,21165
12/26/17 16:30,21190,21100,21210,21170
12/26/17 17:00,21170,21170,21170,21170
12/26/17 18:30,21025,20895,21025,20905
12/26/17 19:00,20950,20950,21050,21050
12/26/17 19:30,21070,20975,21070,20975
12/26/17 20:00,21045,21005,21060,21060
12/26/17 20:30,21185,21185,21370,21370
12/26/17 21:00,21300,21280,21460,21280
12/26/17 21:30,21175,21110,21175,21110
12/26/17 22:00,21175,21110,21175,21110
12/26/17 22:30,21085,21085,21085,21085
12/26/17 23:00,21135,21090,21150,21150
12/26/17 23:00,21295,21295,21700,21700
12/27/17 0:00,21745,21690,21870,21805
12/27/17 0:30,21700,21700,21700,21700
12/27/17 0:30,21720,21720,21720,21720
12/27/17 1:30,21915,21805,21915,21865
12/27/17 2:00,21770,21725,21770,21760
12/27/17 2:30,21615,21580,21620,21620
12/27/17 3:00,21495,21495,21495,21495
12/27/17 3:30,21615,21515,21615,21515
12/27/17 4:00,21515,21515,21585,21585
12/27/17 4:30,21430,21425,21435,21425
12/27/17 5:00,21130,21070,21195,21155
12/27/17 5:30,21210,20770,21225,20770
12/27/17 6:00,20855,20855,20985,20960
12/27/17 6:30,21090,20970,21090,20970
12/27/17 7:00,21070,21020,21110,21020
12/27/17 7:30,21170,21170,21200,21200
12/27/17 8:00,21265,21140,21300,21200
12/27/17 8:30,21220,20950,21220,20950
12/27/17 9:00,21060,21060,21105,21105
12/27/17 9:30,21070,21070,21100,21100
12/27/17 10:00,21065,20590,21065,20670
12/27/17 10:30,20600,20475,20770,20770
12/27/17 11:00,20680,20600,20710,20630
12/27/17 11:30,20705,20570,20740,20570
12/27/17 12:00,20500,20055,20500,20125
12/27/17 12:30,19870,19830,20185,20180
12/27/17 13:00,20225,20120,20260,20200
12/27/17 13:30,20185,20150,20425,20235
12/27/17 14:00,20220,20145,20370,20370
12/27/17 14:30,20430,20405,20470,20405
12/27/17 15:00,20330,20080,20360,20115
12/27/17 15:30,20190,20030,20240,20110
12/27/17 16:00,20025,19915,20070,20055
12/27/17 16:30,19985,19985,20560,20420
12/27/17 17:00,20440,20295,20440,20295
12/27/17 18:30,20520,20520,20595,20595
12/27/17 19:00,20620,20620,20650,20650
12/27/17 19:30,20620,20555,20620,20555
12/27/17 20:00,20395,20350,20395,20370
12/27/17 20:30,20335,20300,20370,20360
12/27/17 21:00,20370,20105,20370,20245
12/27/17 21:30,20250,20055,20260,20055
12/27/17 22:00,19910,19035,19910,19375
12/27/17 22:30,19340,19020,19650,19350
12/27/17 23:00,19460,19080,19585,19570
12/27/17 23:30,19535,19315,19755,19755
12/28/17 0:00,19870,19585,19870,19585
12/28/17 0:30,19570,19145,19600,19335
12/28/17 1:00,19355,18915,19360,18980
12/28/17 1:00,19080,19080,19285,19285
12/28/17 2:00,19270,19175,19270,19190
12/28/17 2:30,19205,19205,19205,19205
12/28/17 3:00,19370,19370,19405,19380
12/28/17 3:30,19420,19210,19420,19240
12/28/17 4:00,19420,19210,19420,19240
12/28/17 4:30,19485,19420,19500,19500
12/28/17 5:00,19655,19555,19670,19660
12/28/17 5:30,19495,19450,19530,19450
12/28/17 6:00,19470,18950,19470,18950
12/28/17 6:30,18875,18805,19035,19035
12/28/17 7:00,19020,19020,19110,19110
12/28/17 7:30,19155,19120,19155,19120
12/28/17 8:00,19090,19090,19445,19370
12/28/17 8:30,19520,19505,19550,19505
12/28/17 9:00,19460,19370,19495,19405
12/28/17 9:30,19235,19170,19445,19445
12/28/17 10:00,19505,19370,19545,19510
12/28/17 10:30,19510,19510,19770,19685
12/28/17 11:00,19690,19525,19690,19550
12/28/17 11:30,19505,19355,19505,19505
12/28/17 12:00,19480,19250,19480,19270
12/28/17 12:30,19275,19040,19335,19190
12/28/17 13:00,19115,19115,19350,19330
12/28/17 13:30,19290,19100,19290,19150
12/28/17 14:00,19040,18730,19075,18730
12/28/17 14:30,18835,18835,19135,19110
12/28/17 15:00,19100,19070,19190,19110
12/28/17 15:30,19255,19200,19270,19240
12/28/17 16:00,19200,19145,19245,19145
12/28/17 16:30,19145,18970,19170,18990
12/28/17 17:00,19075,19075,19210,19210
12/28/17 18:30,19335,19315,19335,19335
12/28/17 19:00,19410,19410,19640,19640
12/28/17 19:00,19670,19560,19675,19575
12/28/17 20:00,19540,19510,19675,19545
12/28/17 20:30,19540,19445,19540,19445
12/28/17 21:00,19480,19480,19480,19480
12/28/17 21:30,19655,19655,20120,20060
12/28/17 22:00,20075,20040,20255,20170
12/28/17 22:30,20130,20075,20140,20140
12/28/17 23:00,19995,19995,20145,20090
12/28/17 23:00,20040,20040,20265,20230
12/29/17 0:00,20220,20075,20220,20075
12/29/17 0:30,19975,19975,20000,20000
12/29/17 1:00,20175,20175,20300,20215
