Date,MACD,rsi,D1,D10,D20,FADiff,SADiff,fut,S1,S3,S4,S5,S6,S7,Sum,d11,d12,d13,d14,d15,d16,d17,d18,d19,d110
2018-01-02 11:00:00,-0.9481051805018978,54.73346210444212,6.0,6.0,1.5,4.361111111111313,4.305555555555657,-1.25,-1,0,0,0,1,0,1,,,,,,,,,,
2018-01-02 13:00:00,-0.5989829302811813,53.04992626112301,-1.25,-1.5,-1.5,3.722222222222172,2.7777777777778283,1.75,0,0,0,0,0,0,1,6.0,,,,,,,,,
2018-01-02 15:00:00,-0.1790269458592774,55.13073023208659,1.75,-3.75,0.75,5.805555555555657,4.097222222222172,6.5,0,0,0,0,0,0,1,-1.25,6.0,,,,,,,,
2018-01-03 05:00:00,0.6705571096945278,61.88727794940673,6.5,3.5,13.25,10.972222222222172,10.027777777777828,-0.25,0,0,0,0,1,0,2,1.75,-1.25,6.0,,,,,,,
2018-01-03 07:00:00,1.3086009468415796,61.50366946001612,-0.25,11.75,14.0,9.333333333333483,9.277777777777828,-0.75,1,0,0,0,0,0,2,6.5,1.75,-1.25,6.0,,,,,,
2018-01-03 09:00:00,1.73375095090978,60.296182134591504,-0.75,11.75,9.25,7.111111111111313,8.069444444444343,9.75,1,0,0,0,0,0,2,-0.25,6.5,1.75,-1.25,6.0,,,,,
2018-01-03 11:00:00,2.824865615625185,68.85630079714211,9.75,23.0,18.0,13.527777777777828,16.638888888888687,4.75,1,0,0,0,1,0,3,-0.75,-0.25,6.5,1.75,-1.25,6.0,,,,
2018-01-03 13:00:00,4.02645271059464,72.02113710624968,4.75,34.75,22.75,15.027777777777828,19.930555555555657,-0.5,1,1,1,0,1,0,5,9.75,-0.75,-0.25,6.5,1.75,-1.25,6.0,,,
2018-01-03 15:00:00,4.88209556037873,71.20092202194635,-0.5,28.75,25.5,11.638888888888689,17.986111111111313,4.5,1,1,1,0,0,0,4,4.75,9.75,-0.75,-0.25,6.5,1.75,-1.25,6.0,,
2018-01-04 05:00:00,5.855808954820532,74.06379097294084,4.5,30.5,30.25,13.416666666666517,21.138888888888687,-0.0,1,1,1,0,1,1,6,-0.5,4.75,9.75,-0.75,-0.25,6.5,1.75,-1.25,6.0,
2018-01-04 07:00:00,6.551956953829631,74.06379097294084,0.0,24.5,30.5,10.555555555555657,20.013888888888687,3.5,1,1,1,0,0,1,5,4.5,-0.5,4.75,9.75,-0.75,-0.25,6.5,1.75,-1.25,6.0
2018-01-04 09:00:00,7.301908155858655,76.19810950282127,3.5,29.25,27.75,11.0,22.15277777777783,7.75,1,1,1,0,1,1,6,0.0,4.5,-0.5,4.75,9.75,-0.75,-0.25,6.5,1.75,-1.25
2018-01-04 11:00:00,8.424497751113904,80.10262284253074,7.75,35.25,31.5,15.555555555555657,27.638888888888687,-0.25,1,1,1,0,1,1,6,3.5,0.0,4.5,-0.5,4.75,9.75,-0.75,-0.25,6.5,1.75
2018-01-04 13:00:00,9.188070821457586,79.64872587579244,-0.25,28.5,32.0,12.111111111111311,25.09722222222217,0.5,1,1,1,0,0,1,5,7.75,3.5,0.0,4.5,-0.5,4.75,9.75,-0.75,-0.25,6.5
2018-01-04 15:00:00,9.72149051108363,79.89411115192603,0.5,29.25,41.0,9.277777777777828,23.194444444444343,2.75,1,1,1,0,0,1,5,-0.25,7.75,3.5,0.0,4.5,-0.5,4.75,9.75,-0.75,-0.25
2018-01-05 05:00:00,10.24799892305782,81.23430875092694,2.75,32.75,44.5,9.472222222222172,23.0,2.75,1,1,1,0,0,1,5,0.5,-0.25,7.75,3.5,0.0,4.5,-0.5,4.75,9.75,-0.75
2018-01-05 07:00:00,10.763092420495468,82.49117008408433,2.75,25.75,48.75,9.888888888888689,22.958333333333485,0.75,1,1,1,1,0,1,6,2.75,0.5,-0.25,7.75,3.5,0.0,4.5,-0.5,4.75,9.75
