Date,MACD,rsi,D1,D10,D20,FADiff,SADiff,fut,S1,S3,S4,S5,S6,S7,Sum,d11,d12,d13,d14,d15,d16,d17,d18,d19,d110
2018-01-02 11:00:00,0.0730905954353602,43.81907640097878,-0.359375,-0.265625,0.1875,-0.3246527777777714,-0.3177083333333286,-0.21875,0,0,0,0,-1,0,-2,,,,,,,,,,
2018-01-02 13:00:00,0.0287338895875706,38.41496884971574,-0.21875,-0.5625,-0.25,-0.4774305555555571,-0.5052083333333286,0.125,0,0,0,0,-1,0,-2,-0.359375,,,,,,,,,
2018-01-02 15:00:00,0.0036255429593694,42.75920156531414,0.125,-0.46875,-0.234375,-0.3177083333333286,-0.3489583333333286,-0.03125,0,0,0,0,0,0,-1,-0.21875,-0.359375,,,,,,,,
2018-01-03 05:00:00,-0.018580432808676,41.9622690034778,-0.03125,-0.34375,-0.46875,-0.2916666666666714,-0.3619791666666714,0.1875,0,0,0,0,0,0,-1,0.125,-0.21875,-0.359375,,,,,,,
2018-01-03 07:00:00,-0.0208092692901118,48.2003978764113,0.1875,-0.328125,-0.40625,-0.0520833333333285,-0.1631944444444428,0.015625,0,0,0,0,1,0,1,-0.03125,0.125,-0.21875,-0.359375,,,,,,
2018-01-03 09:00:00,-0.0210719272822359,48.69528328447844,0.015625,-0.453125,-0.125,0.0104166666666714,-0.1328125,0.015625,0,0,0,0,0,0,0,0.1875,-0.03125,0.125,-0.21875,-0.359375,,,,,
2018-01-03 11:00:00,-0.0197911387885199,49.21776931341477,0.015625,-0.40625,-0.171875,0.0520833333333285,-0.1050347222222285,0.03125,0,0,0,0,0,0,0,0.015625,0.1875,-0.03125,0.125,-0.21875,-0.359375,,,,
2018-01-03 13:00:00,-0.0160692544838809,50.30775472987684,0.03125,-0.203125,-0.21875,0.09375,-0.0668402777777714,-0.0,0,0,0,0,0,0,0,0.015625,0.015625,0.1875,-0.03125,0.125,-0.21875,-0.359375,,,
2018-01-03 15:00:00,-0.0129701228550516,50.30775472987684,0.0,-0.09375,-0.1875,0.1197916666666714,-0.0590277777777714,-0.3125,0,0,0,0,0,0,0,0.03125,0.015625,0.015625,0.1875,-0.03125,0.125,-0.21875,-0.359375,,
2018-01-04 05:00:00,-0.0353229955349974,40.28066480634147,-0.3125,-0.546875,-0.4375,-0.171875,-0.3420138888888857,0.078125,0,0,0,0,-1,-1,-3,0.0,0.03125,0.015625,0.015625,0.1875,-0.03125,0.125,-0.21875,-0.359375,
2018-01-04 07:00:00,-0.0462011949790053,43.32209900620173,0.078125,-0.109375,-0.375,-0.1059027777777714,-0.2369791666666714,-0.203125,0,0,0,0,0,0,-1,-0.3125,0.0,0.03125,0.015625,0.015625,0.1875,-0.03125,0.125,-0.21875,-0.359375
2018-01-04 09:00:00,-0.0704011951704046,37.91534616149495,-0.203125,-0.09375,-0.65625,-0.2847222222222285,-0.4105902777777714,0.0625,0,0,-1,0,-1,0,-3,0.078125,-0.3125,0.0,0.03125,0.015625,0.015625,0.1875,-0.03125,0.125,-0.21875
2018-01-04 11:00:00,-0.0835732614722815,40.380896045542045,0.0625,-0.15625,-0.625,-0.2083333333333286,-0.3125,0.21875,0,0,-1,0,0,0,-2,-0.203125,0.078125,-0.3125,0.0,0.03125,0.015625,0.015625,0.1875,-0.03125,0.125
2018-01-04 13:00:00,-0.0754907121478538,48.14315843584405,0.21875,0.09375,-0.25,0.0208333333333285,-0.0625,0.0625,0,0,0,0,1,0,1,0.0625,-0.203125,0.078125,-0.3125,0.0,0.03125,0.015625,0.015625,0.1875,-0.03125
2018-01-04 15:00:00,-0.0633121824817095,50.14056674143761,0.0625,-0.03125,-0.359375,0.0885416666666714,0.0260416666666714,-0.0,0,0,0,0,0,0,0,0.21875,0.0625,-0.203125,0.078125,-0.3125,0.0,0.03125,0.015625,0.015625,0.1875
2018-01-05 05:00:00,-0.0530490930568987,50.14056674143761,0.0,-0.046875,-0.5,0.0954861111111142,0.0425347222222285,-0.109375,0,0,0,0,0,0,0,0.0625,0.21875,0.0625,-0.203125,0.078125,-0.3125,0.0,0.03125,0.015625,0.015625
2018-01-05 07:00:00,-0.0531287341849378,46.50503313737492,-0.109375,-0.171875,-0.578125,0.0086805555555571,-0.0503472222222285,0.09375,0,0,0,0,0,0,0,0.0,0.0625,0.21875,0.0625,-0.203125,0.078125,-0.3125,0.0,0.03125,0.015625
2018-01-05 09:00:00,-0.0451070429412823,49.8608176536476,0.09375,-0.109375,-0.3125,0.1145833333333286,0.0625,-0.234375,0,0,0,0,0,0,0,-0.109375,0.0,0.0625,0.21875,0.0625,-0.203125,0.078125,-0.3125,0.0,0.03125
2018-01-05 11:00:00,-0.0570047829305337,42.65652554635757,-0.234375,-0.34375,-0.4375,-0.1163194444444428,-0.1597222222222285,-0.0,0,0,0,0,-1,-1,-3,0.09375,-0.109375,0.0,0.0625,0.21875,0.0625,-0.203125,0.078125,-0.3125,0.0
2018-01-05 13:00:00,-0.0656767469343009,42.65652554635757,0.0,-0.03125,-0.578125,-0.1041666666666714,-0.1597222222222285,0.015625,0,0,0,0,0,0,-2,-0.234375,0.09375,-0.109375,0.0,0.0625,0.21875,0.0625,-0.203125,0.078125,-0.3125
2018-01-05 15:00:00,-0.0704761290234614,43.29005852088447,0.015625,-0.09375,-0.203125,-0.1006944444444428,-0.1380208333333286,0.046875,0,0,0,0,0,0,-1,0.0,-0.234375,0.09375,-0.109375,0.0,0.0625,0.21875,0.0625,-0.203125,0.078125
2018-01-08 05:00:00,-0.0696938656571575,45.24448364879532,0.046875,0.15625,0.0625,-0.0642361111111142,-0.0894097222222285,0.03125,0,0,0,0,0,0,0,0.015625,0.0,-0.234375,0.09375,-0.109375,0.0,0.0625,0.21875,0.0625,-0.203125
2018-01-08 07:00:00,-0.0657938716732218,46.566589293348834,0.03125,0.125,-0.03125,-0.0225694444444428,-0.0477430555555571,0.046875,0,0,0,0,0,0,0,0.046875,0.015625,0.0,-0.234375,0.09375,-0.109375,0.0,0.0625,0.21875,0.0625
