Date,MACD,rsi,D1,D10,D20,FADiff,SADiff,fut,Sum,time,d11,d12,d13,d14,d15,d16,d17,d18,d19,d110
1/4/2018 7:00,-0.009235778,41.15156883,-0.0078,-0.03106875,-0.01869709,-0.004900694,-0.010281783,0.01237209,-1,7,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084,-0.00683416,-0.00108125,-0.00791541,-0.00660334,0.02136875
1/4/2018 9:00,-0.008102695,48.01613028,0.01237209,-0.01209332,-0.0084875,0.007935608,0.002561835,0.0022625,1,9,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084,-0.00683416,-0.00108125,-0.00791541,-0.00660334
1/4/2018 11:00,-0.006942129,49.18351164,0.0022625,-0.00191541,-0.00394666,0.010290792,0.00467033,-0.0091125,1,11,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084,-0.00683416,-0.00108125,-0.00791541
1/4/2018 13:00,-0.006680664,44.81804479,-0.0091125,-0.00994666,-0.0153375,0.001524126,-0.003969786,-0.00444084,-1,13,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084,-0.00683416,-0.00108125
1/4/2018 15:00,-0.006753935,42.8232288,-0.00444084,-0.00755334,-0.01078125,-0.002570881,-0.008371552,0.00335916,0,15,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084,-0.00683416
1/5/2018 5:00,-0.006466406,44.82379091,0.00335916,0.00024666,-0.00958459,-0.000105794,-0.004660123,0.01007834,0,5,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078,-0.00444084
1/5/2018 7:00,-0.005363472,50.42797127,0.01007834,0.018125,0.01273416,0.008572174,0.005523773,-0.0134375,2,7,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166,-0.0078
1/5/2018 9:00,-0.005510166,44.00963887,-0.0134375,-0.00083416,-0.0097,-0.005746576,-0.007434908,0.0169125,-1,9,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541,0.00552166
1/5/2018 11:00,-0.004213157,52.24760307,0.0169125,0.02484375,0.001575,0.010033286,0.010203981,0.00108125,3,11,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465,-0.00876541
1/5/2018 13:00,-0.003062716,52.72648398,0.00108125,0.011275,0.009375,0.008995091,0.011584698,0.00444041,0,13,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078,0.01465
1/5/2018 15:00,-0.001772249,54.7341199,0.00444041,0.02351541,-0.00755334,0.012197354,0.015638141,0,3,15,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209,-0.0078
1/8/2018 5:00,-0.000741003,54.7341199,0,0.01114332,-0.00095,0.011210597,0.015191104,-0.01007791,2,5,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625,0.01237209
1/8/2018 7:00,-0.000728538,49.23084607,-0.01007791,-0.00119709,-0.0031125,0.000253197,0.004846366,0.00444041,-1,7,0,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125,0.0022625
1/8/2018 9:00,-0.000356249,51.54269535,0.00444041,0.01235582,0.00240916,0.002827311,0.008526545,0.00119709,0,9,-0.01007791,0,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084,-0.0091125
1/8/2018 11:00,3.50E-05,52.17496639,0.00119709,0.01799375,0.01044041,0.002398336,0.008463566,0.0078,0,11,0.00444041,-0.01007791,0,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916,-0.00444084
1/8/2018 13:00,0.00096333,56.1864495,0.0078,0.02243459,0.02268125,0.008825419,0.014876922,0.00335959,1,13,0.00119709,0.00444041,-0.01007791,0,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834,0.00335916
1/8/2018 15:00,0.00194769,57.82725794,0.00335959,0.01571584,0.03384084,0.008945749,0.016176257,0.0212375,2,15,0.0078,0.00119709,0.00444041,-0.01007791,0,0.00444041,0.00108125,0.0169125,-0.0134375,0.01007834
1/9/2018 5:00,0.004390875,66.39482311,0.0212375,0.05039084,0.04955668,0.026463433,0.034987529,-0.01235668,6,5,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791,0,0.00444041,0.00108125,0.0169125,-0.0134375
1/9/2018 7:00,0.005269295,58.8975107,-0.01235668,0.02112166,0.04596541,0.011880041,0.020457771,0.00671918,4,7,0.0212375,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791,0,0.00444041,0.00108125,0.0169125
1/9/2018 9:00,0.00643347,61.44686529,0.00671918,0.02675959,0.03803459,0.016119312,0.025317923,0.03023416,5,9,-0.01235668,0.0212375,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791,0,0.00444041,0.00108125
1/9/2018 11:00,0.009684099,70.35646869,0.03023416,0.05255334,0.07606875,0.040514212,0.052139074,0.00455625,7,11,0.00671918,-0.01235668,0.0212375,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791,0,0.00444041
1/9/2018 13:00,0.01248399,71.42806843,0.00455625,0.05710959,0.06825291,0.037605184,0.052522941,0.00899709,6,13,0.03023416,0.00671918,-0.01235668,0.0212375,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791,0
1/9/2018 15:00,0.015253085,73.46772197,0.00899709,0.07618459,0.0749875,0.038630699,0.056601095,-0.00335959,6,15,0.00455625,0.03023416,0.00671918,-0.01235668,0.0212375,0.00335959,0.0078,0.00119709,0.00444041,-0.01007791
